Project Hail Mary,Andy Weir,2021
Digital Minimalism: Choosing a Focused Life in a Noisy World,Cal Newport,2019
The Dark Forest,Cixin Liu,2008
Death's End,Cixin Liu,2016
Turtles All the Way Down,John Green,2017,
Children of Time,Adrian Tchaikovsky,2015
